		lda	nmf
n_topics_5	n_topic_1	['бог', 'друг', 'сын', 'становиться', 'царь', 'небо', 'говорить', 'отец', 'девушка', 'превращение']	['воин', 'раб', 'девушка', 'юноша', 'старик', 'сын', 'сводник', 'отец', 'гетера', 'хозяин']
n_topics_5	n_topic_2	['раб', 'сын', 'жена', 'дом', 'брат', 'отец', '   \n', 'гетера', 'юноша', 'старик']	['бог', 'друг', 'троянец', 'небо', 'превращение', 'война', 'мир', 'будущее', 'царь', 'море']
n_topics_5	n_topic_3	['жизнь', 'время', 'человек', 'друг', 'бог', 'сын', 'становиться', 'жить', 'дело', 'лишь']	['жизнь', 'человек', 'время', 'досуг', 'год', 'сколько', 'любой', 'день', 'дело', 'собственный']
n_topics_5	n_topic_4	['раб', 'хозяин', 'старик', 'время', '   \n', 'человек', 'девушка', 'друг', 'отец', 'воин']	['сын', 'царь', 'фиеста', 'зарезать', 'хор', 'власть', 'брат', 'бог', 'грешник', 'ужас']
n_topics_5	n_topic_5	['воин', 'друг', 'отец', 'бог', 'старик', 'дом', 'говорить', 'рука', 'имя', 'освящать']	['плащ', 'путаница', 'недоразумение', 'гетера', 'раб', 'жена', 'харчевня', 'нахлебник', 'перебранка', 'менехмы']
n_topics_6	n_topic_1	['бог', 'друг', 'сын', 'царь', 'становиться', 'говорить', 'девушка', 'небо', 'отец', 'жизнь']	['воин', 'девушка', 'юноша', 'раб', 'сводник', 'старик', 'деньги', 'меняла', 'перстень', 'хозяин']
n_topics_6	n_topic_2	['сын', 'жена', 'раб', 'брат', 'дом', '   \n', 'гетера', 'отец', 'оказываться', 'юноша']	['бог', 'друг', 'превращение', 'троянец', 'небо', 'война', 'мир', 'море', 'царь', 'будущее']
n_topics_6	n_topic_3	['жизнь', 'время', 'человек', 'друг', 'сын', 'бог', 'становиться', 'жить', 'дело', 'лишь']	['гетера', '   \n', 'сын', 'жениться', 'родитель', 'отец', 'причина', 'визит', 'сосед', 'дочь']
n_topics_6	n_topic_4	['раб', 'старик', 'воин', 'хозяин', 'юноша', 'девушка', '   \n', 'время', 'твой', 'человек']	['сын', 'царь', 'фиеста', 'зарезать', 'хор', 'власть', 'брат', 'бог', 'грешник', 'ужас']
n_topics_6	n_topic_5	['воин', 'друг', 'старик', 'освящать', 'отец', 'дом', 'имя', 'бог', 'повеса', 'рука']	['плащ', 'путаница', 'недоразумение', 'гетера', 'раб', 'жена', 'харчевня', 'нахлебник', 'перебранка', 'менехмы']
n_topics_6	n_topic_6	['друг', 'герой', 'небо', 'становиться', 'отец', 'превращение', 'время', 'бог', 'человек', 'новый']	['жизнь', 'человек', 'время', 'досуг', 'год', 'сколько', 'любой', 'день', 'дело', 'собственный']
n_topics_7	n_topic_1	['бог', 'девушка', 'становиться', 'превращение', 'друг', 'отец', 'небо', 'море', 'сын', 'царь']	['воин', 'девушка', 'юноша', 'сводник', 'деньги', 'раб', 'старик', 'меняла', 'перстень', 'куркулион']
n_topics_7	n_topic_2	['сын', '   \n', 'отец', 'брат', 'дом', 'оказываться', 'жена', 'становиться', 'раб', 'жениться']	['бог', 'друг', 'троянец', 'превращение', 'небо', 'война', 'мир', 'море', 'царь', 'будущее']
n_topics_7	n_topic_3	['жизнь', 'время', 'человек', 'дело', 'день', 'жить', 'лишь', 'собственный', 'становиться', 'самый']	['гетера', '   \n', 'сын', 'жениться', 'родитель', 'отец', 'причина', 'сосед', 'визит', 'дочь']
n_topics_7	n_topic_4	['раб', 'юноша', 'девушка', '   \n', 'время', 'отец', 'сводник', 'воин', 'деньги', 'затем']	['сын', 'царь', 'фиеста', 'зарезать', 'хор', 'власть', 'брат', 'бог', 'грешник', 'ужас']
