		lda	nmf
n_topics_5	n_topic_1	['год', 'время', 'жизнь', 'дом', 'род', 'война', 'петух', 'селение', 'пергамент', 'земля']	
n_topics_5	n_topic_2	['полковник', 'петух', 'год', 'жена', 'сын', 'получать', 'старик', 'бой', 'деньги', 'продавать']	
n_topics_5	n_topic_3	['год', 'сосед', 'воспаленный', 'салон', 'четыре', 'бой', 'продавать', 'радость', 'возвращаться', 'бамбук']	
n_topics_5	n_topic_4	['год', 'уговаривать', 'петух', 'интерес', 'жена', 'железный', 'положение', 'хижина', 'поскольку', 'прозрачный']	
n_topics_5	n_topic_5	['полковник', 'получать', 'петух', 'недомогание', 'постепенно', 'бесценок', 'карман', 'мастерская', 'гражданский', 'подводить']	
n_topics_6	n_topic_1	['год', 'время', 'жизнь', 'дом', 'род', 'война', 'петух', 'селение', 'пергамент', 'земля']	
n_topics_6	n_topic_2	['полковник', 'петух', 'год', 'жена', 'сын', 'получать', 'старик', 'бой', 'деньги', 'продавать']	
n_topics_6	n_topic_3	['сосед', 'воспаленный', 'салон', 'год', 'четыре', 'продавать', 'бой', 'радость', 'возвращаться', 'бамбук']	
n_topics_6	n_topic_4	['год', 'уговаривать', 'интерес', 'железный', 'положение', 'хижина', 'петух', 'прозрачный', 'пальмовый', 'напоминать']	
n_topics_6	n_topic_5	['полковник', 'получать', 'петух', 'недомогание', 'бесценок', 'постепенно', 'карман', 'гражданский', 'мастерская', 'подводить']	
n_topics_6	n_topic_6	['жить', 'чувствовать', 'старый', 'тянуться', 'страх', 'находиться', 'городок', 'часы', 'бывший', 'мгновение']	
n_topics_7	n_topic_1	['год', 'выпускать', 'война', 'селение', 'дочь', 'земля', 'одиночество', 'время', 'хвостик', 'пергамент']	
n_topics_7	n_topic_2	['полковник', 'петух', 'год', 'жена', 'сын', 'получать', 'старик', 'бой', 'деньги', 'продавать']	
n_topics_7	n_topic_3	['воспаленный', 'сосед', 'салон', 'четыре', 'продавать', 'бой', 'радость', 'год', 'возвращаться', 'бамбук']	
n_topics_7	n_topic_4	['год', 'уговаривать', 'интерес', 'железный', 'положение', 'хижина', 'тетка', 'прозрачный', 'поскольку', 'опустошать']	
n_topics_7	n_topic_5	['полковник', 'получать', 'постепенно', 'недомогание', 'бесценок', 'карман', 'мастерская', 'подводить', 'гражданский', 'петух']	
n_topics_7	n_topic_6	['жить', 'чувствовать', 'старый', 'тянуться', 'страх', 'находиться', 'часы', 'бывший', 'мгновение', 'перебираться']	
n_topics_7	n_topic_7	['год', 'род', 'дом', 'жизнь', 'время', 'война', 'петух', 'пергамент', 'сын', 'умирать']	
n_topics_8	n_topic_1	['год', 'война', 'селение', 'выпускать', 'земля', 'время', 'дочь', 'одиночество', 'пергамент', 'хвостик']	
n_topics_8	n_topic_2	['полковник', 'петух', 'год', 'жена', 'сын', 'получать', 'старик', 'бой', 'деньги', 'продавать']	
n_topics_8	n_topic_3	['воспаленный', 'сосед', 'салон', 'четыре', 'радость', 'продавать', 'бой', 'возвращаться', 'год', 'бамбук']	
n_topics_8	n_topic_4	['год', 'уговаривать', 'интерес', 'железный', 'положение', 'хижина', 'пальмовый', 'напоминать', 'тетка', 'прозрачный']	
n_topics_8	n_topic_5	['полковник', 'постепенно', 'недомогание', 'получать', 'бесценок', 'карман', 'мастерская', 'подводить', 'пыль', 'гражданский']	
n_topics_8	n_topic_6	['жить', 'чувствовать', 'старый', 'тянуться', 'страх', 'находиться', 'часы', 'бывший', 'мгновение', 'перебираться']	
n_topics_8	n_topic_7	['год', 'род', 'дом', 'жизнь', 'время', 'война', 'петух', 'сын', 'пергамент', 'умирать']	
n_topics_8	n_topic_8	['дель', 'невинность', 'называть', 'сумасбродный', 'дом', 'потерпеть', 'мимеограф', 'нищета', 'продолжать', 'трудно']	
n_topics_9	n_topic_1	['год', 'война', 'селение', 'время', 'земля', 'выпускать', 'дочь', 'одиночество', 'пергамент', 'жизнь']	
n_topics_9	n_topic_2	['полковник', 'петух', 'год', 'жена', 'сын', 'получать', 'старик', 'бой', 'деньги', 'продавать']	
n_topics_9	n_topic_3	['воспаленный', 'сосед', 'салон', 'четыре', 'радость', 'продавать', 'бой', 'возвращаться', 'бамбук', 'страна']	
n_topics_9	n_topic_4	['год', 'уговаривать', 'положение', 'интерес', 'железный', 'хижина', 'петух', 'пальмовый', 'напоминать', 'жена']	
n_topics_9	n_topic_5	['полковник', 'постепенно', 'недомогание', 'получать', 'бесценок', 'карман', 'мастерская', 'подводить', 'пыль', 'гражданский']	
